KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,CLAIM_ID,CLAIM_STATUS,CONTENT_CATEGORY,RISK_LEVEL,REVIEW_DECISION,PROPOSED_ARABIC,REVIEWER_NOTE,LEGAL_REVIEW_REQUIRED,SEVERITY
home.protects.items,/ar/,Home,protects,"[1] title: Screen Time
[1] body: Support healthier device-use limits and routines.
[2] title: Safer Browsing
[2] body: Help apply approved web-safety decisions.
[3] title: Apps & Web Controls
[3] body: Set appropriate boundaries for apps and online access.
[4] title: Schedules
[4] body: Create predictable times for study, rest and sleep.
[5] title: Protection Status
[5] body: See whether protections are active.
[6] title: Parent & Child Requests
[6] body: Support clear family interaction when a child needs more time.
[7] title: Alerts
[7] body: Receive relevant protection notices.
[8] title: Device Protection
[8] body: Help maintain the protection configuration on the child device.","[1] title: وقت الشاشة
[1] body: المساعدة في وضع حدود وروتين أكثر توازنًا لاستخدام الأجهزة.
[2] title: تصفح أكثر أمانًا
[2] body: المساعدة في اتخاذ قرارات الحماية على الويب.
[3] title: التحكم بالتطبيقات والويب
[3] body: وضع حدود مناسبة للتطبيقات والوصول إلى الويب.
[4] title: الجداول الزمنية
[4] body: تحديد أوقات واضحة للدراسة والراحة والنوم.
[5] title: حالة الحماية
[5] body: معرفة ما إذا كانت الحماية تعمل.
[6] title: طلبات الوالدين والطفل
[6] body: إتاحة تواصل واضح عندما يطلب الطفل وقتًا إضافيًا.
[7] title: التنبيهات
[7] body: إرسال تنبيهات مفيدة مرتبطة بالحماية.
[8] title: حماية الجهاز
[8] body: المساعدة في الحفاظ على إعدادات الحماية على جهاز الطفل.",CLM-028; CLM-029; CLM-030; CLM-031; CLM-032; CLM-033; CLM-034; CLM-035,REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT; REQUIRES_PLATFORM_SUPPORT,BODY_COPY,CRITICAL,REVISE_MEDIUM,"[1] title: وقت الشاشة
[1] body: دعم حدود وروتين أكثر توازنًا لاستخدام الأجهزة.
[2] title: تصفح أكثر أمانًا
[2] body: المساعدة في تطبيق قرارات السلامة المعتمدة على الويب.
[3] title: التحكم بالتطبيقات والويب
[3] body: وضع حدود مناسبة للتطبيقات والوصول إلى الويب.
[4] title: الجداول الزمنية
[4] body: تحديد أوقات واضحة للدراسة والراحة والنوم.
[5] title: حالة الحماية
[5] body: معرفة ما إذا كانت وسائل الحماية مفعّلة.
[6] title: طلبات الوالدين والطفل
[6] body: إتاحة تواصل واضح عندما يطلب الطفل وقتًا إضافيًا.
[7] title: التنبيهات
[7] body: تلقي تنبيهات ذات صلة بالحماية.
[8] title: حماية الجهاز
[8] body: المساعدة في الحفاظ على إعدادات الحماية على جهاز الطفل.",تصحيح فروق معنى في ثلاث نقاط: apply approved decisions ≠ اتخاذ القرارات، active ≠ تعمل بالضرورة، وReceive alerts ≠ إرسال التنبيهات.,NO,MEDIUM
home.protects.label,/ar/,Home,protects,What PCA protects,ما الذي تحميه PCA؟,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.protects.title,/ar/,Home,protects,Practical protection families can understand,حماية عملية يمكن للأسرة فهمها,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.seo.description,/ar/,Home,seo,"PCA helps families create safer digital spaces for children with practical protection, privacy-minimizing design and clear parental control.",تساعد PCA الوالدين على توفير مساحات رقمية أكثر أمانًا للأطفال من خلال حماية عملية، وتصميم يحد من جمع المعلومات، وتحكم واضح للوالدين.,NONE,NONE,SEO_METADATA,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.seo.title,/ar/,Home,seo,PCA — Protecting Children in Digital Spaces,PCA — حماية الأطفال في المساحات الرقمية,NONE,NONE,SEO_METADATA,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.steps.items,/ar/,Home,steps,"[1] title: Create your parent account
[1] body: Set up access to PCA Parent.
[2] title: Add your child in PCA Parent
[2] body: Child setup belongs inside the protected Parent experience.
[3] title: Install PCA Child on a supported device
[3] body: Android is the planned primary platform.
[4] title: Connect the device and choose protections
[4] body: Set the rules and schedules appropriate for your family.
[5] title: Review protection status
[5] body: Check protection status and respond to supported requests.","[1] title: أنشئ حساب الوالدين
[1] body: ابدأ بإعداد الوصول إلى PCA Parent.
[2] title: أضف طفلك داخل PCA Parent
[2] body: يتم إعداد معلومات الطفل داخل بيئة الوالدين المحمية.
[3] title: ثبّت PCA Child على جهاز مدعوم
[3] body: أندرويد هو المنصة الأساسية المخطط لها.
[4] title: اربط الجهاز واختر إعدادات الحماية
[4] body: حدد القواعد والجداول المناسبة لأسرتك.
[5] title: راجع حالة الحماية
[5] body: تابع حالة الحماية وتعامل مع الطلبات المدعومة.",CLM-024,COMING_LATER,BODY_COPY,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.steps.label,/ar/,Home,steps,How it works,كيف تعمل PCA؟,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.steps.title,/ar/,Home,steps,Five simple steps,خمس خطوات واضحة,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.why.body,/ar/,Home,why,"[1] PCA began with a simple question: if we work hard to protect children at home, at school and in public spaces, why should their digital spaces be treated differently?
[2] We believe families should have useful tools for digital protection without needing to trade away a child’s privacy.","[1] بدأت فكرة PCA بسؤال بسيط: إذا كنا نبذل جهدًا لحماية الأطفال في المنزل والمدرسة والأماكن العامة، فلماذا نتعامل مع المساحات الرقمية وكأن الحماية تتوقف عندها؟
[2] نؤمن بأن الأسرة تحتاج إلى أدوات مفيدة للحماية الرقمية دون أن تضطر للتنازل عن خصوصية الطفل.",NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.why.label,/ar/,Home,why,Why PCA exists,لماذا وُجدت PCA؟,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
home.why.title,/ar/,Home,why,Built from a parent's concern,بدأت من اهتمام أب بحماية أطفاله,NONE,NONE,HEADING,MEDIUM,REVISE_MEDIUM,بدأت من اهتمام أحد الوالدين بحماية أطفاله,المصدر الحالي يقول parent's concern بينما العربية تحدده بأنه أب. المقترح يتبع المصدر الإنجليزي الحالي دون إضافة جنس الوالد.,NO,MEDIUM
howItWorks.child.items,/ar/how-it-works/,How PCA Works,child,"[1] title: Android
[1] body: When the first PCA Child release is ready, Android is the planned primary platform.
[2] title: iPhone and iPad
[2] body: Child protection for iPhone and iPad is planned for a later release.","[1] title: أندرويد
[1] body: عند جاهزية أول إصدار من PCA Child ستكون أندرويد هي المنصة الأساسية المخطط لها.
[2] title: iPhone وiPad
[2] body: حماية أجهزة iPhone وiPad مخطط لها في إصدار لاحق.",CLM-024; CLM-026,COMING_LATER; COMING_LATER,BODY_COPY,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
howItWorks.child.title,/ar/how-it-works/,How PCA Works,child,PCA Child,PCA Child,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
howItWorks.hero.body,/ar/how-it-works/,How PCA Works,hero,"PCA is designed to make the protection journey understandable: set up the parent account, connect the supported child device, choose appropriate rules, and review protection status from PCA Parent.",صُممت PCA لتكون خطوات الحماية واضحة: أنشئ حساب الوالدين، واربط جهاز الطفل المدعوم، واختر القواعد المناسبة، ثم راجع حالة الحماية عبر PCA Parent.,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
howItWorks.hero.title,/ar/how-it-works/,How PCA Works,hero,From account setup to everyday protection,من إنشاء الحساب إلى الحماية اليومية,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
howItWorks.parent.items,/ar/how-it-works/,How PCA Works,parent,"[1] title: No installation required
[1] body: PCA Parent is designed to run in a supported browser on phone, tablet or computer, with nothing to install.
[2] title: Install PCA Parent
[2] body: Where installation is supported, you may install it for app-like access.
[3] title: Installation remains optional
[3] body: You never need to install PCA Parent just to use the service.","[1] title: لا حاجة إلى تثبيت
[1] body: صُممت PCA Parent للعمل في متصفح مدعوم على الهاتف أو الجهاز اللوحي أو الكمبيوتر، دون تثبيت أي شيء.
[2] title: تثبيت PCA Parent
[2] body: عندما يكون التثبيت مدعومًا يمكنك تثبيتها لوصول أقرب للتطبيق.
[3] title: يبقى التثبيت اختياريًا
[3] body: لا تحتاج إلى تثبيت PCA Parent حتى تستخدم الخدمة.",CLM-019; CLM-020; CLM-021,COMING_LATER; COMING_LATER; VERIFIED_AVAILABLE,BODY_COPY,CRITICAL,REVISE_LOW,"[1] title: لا حاجة إلى تثبيت
[1] body: صُممت PCA Parent للعمل في متصفح مدعوم على الهاتف أو الجهاز اللوحي أو الكمبيوتر، دون تثبيت أي شيء.
[2] title: تثبيت PCA Parent
[2] body: عندما يكون التثبيت مدعومًا، يمكنك تثبيتها للحصول على تجربة أقرب إلى استخدام التطبيق.
[3] title: يبقى التثبيت اختياريًا
[3] body: لا تحتاج إلى تثبيت PCA Parent لمجرد استخدام الخدمة.",تحسين «لوصول أقرب للتطبيق» إلى صياغة عربية طبيعية مع الحفاظ على أن التثبيت اختياري.,NO,LOW
howItWorks.parent.title,/ar/how-it-works/,How PCA Works,parent,PCA Parent,PCA Parent,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
howItWorks.security.body,/ar/how-it-works/,How PCA Works,security,Installing PCA Parent is about convenience. Trusted Browser authorization is a separate PCA security concept and follows separate rules.,تثبيت PCA Parent يتعلق بالسهولة والوصول. أما “المتصفح الموثوق” فهو مفهوم أمني منفصل وله قواعده الخاصة.,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
howItWorks.security.title,/ar/how-it-works/,How PCA Works,security,Important security distinction,فرق أمني مهم,NONE,NONE,HEADING,MEDIUM,REVISE_LOW,فرق مهم من ناحية الأمان,أكثر طبيعية ووضوحًا لغير المتخصص من «فرق أمني مهم».,NO,LOW
howItWorks.sensitive.body,/ar/how-it-works/,How PCA Works,sensitive,Protection settings and status move between your trusted devices. Privacy & Safety explains what is processed where.,تنتقل إعدادات الحماية وحالتها بين أجهزتك الموثوقة. وتشرح صفحة الخصوصية والسلامة ما الذي تتم معالجته وأين.,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
howItWorks.sensitive.title,/ar/how-it-works/,How PCA Works,sensitive,What happens to sensitive information?,ماذا يحدث للمعلومات الحساسة؟,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
howItWorks.seo.description,/ar/how-it-works/,How PCA Works,seo,"See the planned PCA journey from parent account to child-device protection, status and family requests.",تعرّف على المسار المخطط من إنشاء حساب الوالدين إلى ربط جهاز الطفل واختيار الحماية ومتابعة الحالة.,NONE,NONE,SEO_METADATA,MEDIUM,REVISE_MEDIUM,تعرّف على المسار المخطط في PCA، من إنشاء حساب الوالدين إلى ربط جهاز الطفل واختيار الحماية ومتابعة الحالة والتعامل مع طلبات الوالدين والطفل.,العربية الحالية تحذف family requests من وصف SEO.,NO,MEDIUM
howItWorks.seo.title,/ar/how-it-works/,How PCA Works,seo,How PCA Works — Parent and Child Protection Flow,كيف تعمل PCA؟ — مسار الوالدين وحماية جهاز الطفل,NONE,NONE,SEO_METADATA,MEDIUM,REVISE_LOW,كيف تعمل PCA؟ — مسار الوالدين وحماية الطفل,أقرب إلى Parent and Child Protection Flow من الصياغة الحالية التي تحصر المعنى في جهاز الطفل.,NO,LOW
howItWorks.steps.items,/ar/how-it-works/,How PCA Works,steps,"[1] title: Create your parent account
[1] body: Use your email and password to create PCA Parent access.
[2] title: Verify your email
[2] body: Confirm your email address to activate PCA Parent access.
[3] title: Set up your child inside PCA Parent
[3] body: Child setup belongs within the protected Parent experience.
[4] title: Install PCA Child
[4] body: Follow the guidance for the device you are setting up.
[5] title: Create an enrollment code or link
[5] body: In PCA Parent, create the enrollment code or link for that child.
[6] title: Connect the child device
[6] body: Use the approved enrollment/pairing flow.
[7] title: Choose protections
[7] body: Depending on verified platform capabilities, parents may configure screen-time rules, schedules, app/web controls and other supported protections.
[8] title: Review status and respond
[8] body: PCA Parent should help the parent understand whether protection is working and respond to supported child requests.","[1] title: إنشاء حساب الوالدين
[1] body: استخدم البريد الإلكتروني وكلمة المرور لإنشاء حساب PCA Parent.
[2] title: تأكيد البريد الإلكتروني
[2] body: أكّد بريدك الإلكتروني لتفعيل الوصول إلى PCA Parent.
[3] title: إعداد الطفل داخل PCA Parent
[3] body: يتم إعداد الطفل داخل بيئة PCA Parent المحمية.
[4] title: تثبيت PCA Child
[4] body: اتبع الإرشادات المناسبة للجهاز الذي تقوم بإعداده.
[5] title: إنشاء رمز أو رابط التسجيل
[5] body: أنشئ من داخل PCA Parent رمز التسجيل أو الرابط الخاص بهذا الطفل.
[6] title: ربط جهاز الطفل
[6] body: يتم استخدام مسار التسجيل والربط المعتمد.
[7] title: اختيار إعدادات الحماية
[7] body: حسب الإمكانات الفعلية للمنصة، يمكن للوالدين إعداد وقت الشاشة والجداول والتحكم بالتطبيقات والويب وغيرها من وظائف الحماية المدعومة.
[8] title: متابعة الحالة والطلبات
[8] body: يُفترض أن تساعد PCA Parent الوالدين على فهم حالة الحماية والتعامل مع الطلبات المدعومة، بحسب ما تدعمه المنصة.",CLM-024,COMING_LATER,BODY_COPY,CRITICAL,REVISE_MEDIUM,"[1] title: إنشاء حساب الوالدين
[1] body: استخدم البريد الإلكتروني وكلمة المرور لإنشاء حساب PCA Parent.
[2] title: تأكيد البريد الإلكتروني
[2] body: أكّد بريدك الإلكتروني لتفعيل الوصول إلى PCA Parent.
[3] title: إعداد الطفل داخل PCA Parent
[3] body: يتم إعداد الطفل داخل بيئة PCA Parent المحمية.
[4] title: تثبيت PCA Child
[4] body: اتبع الإرشادات المناسبة للجهاز الذي تقوم بإعداده.
[5] title: إنشاء رمز أو رابط التسجيل
[5] body: أنشئ من داخل PCA Parent رمز التسجيل أو الرابط الخاص بهذا الطفل.
[6] title: ربط جهاز الطفل
[6] body: استخدم مسار التسجيل والربط المعتمد.
[7] title: اختيار إعدادات الحماية
[7] body: وفقًا لإمكانات المنصة التي تم التحقق منها، يمكن للوالدين إعداد قواعد وقت الشاشة والجداول والتحكم بالتطبيقات والويب وغيرها من وسائل الحماية المدعومة.
[8] title: متابعة الحالة والطلبات
[8] body: ينبغي أن تساعد PCA Parent الوالدين على فهم ما إذا كانت الحماية تعمل والتعامل مع طلبات الطفل المدعومة.",يعيد مفهوم verified platform capabilities الذي اختفى في العربية، ويحافظ على صيغة should في الخطوة الأخيرة، ويحسن صياغة مسار التسجيل والربط.,NO,MEDIUM
howItWorks.steps.label,/ar/how-it-works/,How PCA Works,steps,The journey,المسار,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
howItWorks.steps.title,/ar/how-it-works/,How PCA Works,steps,Eight steps,ثماني خطوات,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
legal.provisionalNotice,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",legal,This is a provisional draft and is not the published legal document. It is pending legal review and is not indexed.,هذه مسودة أولية وليست الوثيقة القانونية المنشورة. ما زالت قيد المراجعة القانونية ولا تظهر في محركات البحث.,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.about,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,About,عن PCA,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.access,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Access,إتاحة الخدمة,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.accessibility,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Accessibility,إمكانية الوصول,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.childSafety,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Child Safety Principles,مبادئ سلامة الطفل,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.contact,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Contact,التواصل,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.download,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Download,التنزيل والتثبيت,NONE,NONE,NAVIGATION_CHROME,LOW,REVISE_LOW,التنزيل,المصدر هو Download فقط؛ إضافة «والتثبيت» توسع عنوان التنقل دون سند من هذا المفتاح.,NO,LOW
nav.faq,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Help,المساعدة,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.features,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Features,المزايا,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.home,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Home,الرئيسية,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.howItWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,How It Works,كيف تعمل PCA؟,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.languageLabel,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Language,اللغة,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.menu,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Menu,القائمة,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.parents,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,For Parents,للوالدين,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.primaryLabel,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Primary,التنقل الرئيسي,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.privacy,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Privacy & Safety,الخصوصية والسلامة,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.privacyPolicy,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Privacy Policy,سياسة الخصوصية,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.security,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Security,الأمان,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.terms,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Terms,الشروط,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
nav.whyPca,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Why PCA,لماذا PCA؟,NONE,NONE,NAVIGATION_CHROME,LOW,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
notFound.arabicHomeCta,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Return to the home page,العودة إلى الصفحة الرئيسية,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
notFound.arabicNote,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,The page is not available.,الصفحة غير متاحة.,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
notFound.body,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,"The page you were looking for is not available. It may have moved, or the link may be incomplete.",الصفحة التي تبحث عنها غير متاحة. ربما تكون قد نُقلت، أو أن الرابط غير مكتمل.,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
notFound.homeCta,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Go to the PCA home page,اذهب إلى الصفحة الرئيسية لـPCA,NONE,NONE,BODY_COPY,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
notFound.seo.title,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Page not found — PCA,الصفحة غير موجودة — PCA,NONE,NONE,SEO_METADATA,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
notFound.title,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Page not found,الصفحة غير موجودة,NONE,NONE,HEADING,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
