KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,REVIEW_DECISION,SEVERITY,PROPOSED_ARABIC,RATIONALE,CLAIM_OR_STATUS,LEGAL_REVIEW_REQUIRED,SIGNOFF_REASON
howItWorks.steps.items,/ar/how-it-works/,How PCA Works,steps,"[1] title: Create your parent account
[1] body: Use your email and password to create PCA Parent access.
[2] title: Verify your email
[2] body: Confirm your email address to activate PCA Parent access.
[3] title: Set up your child inside PCA Parent
[3] body: Child setup belongs within the protected Parent experience.
[4] title: Install PCA Child
[4] body: Follow the guidance for the device you are setting up.
[5] title: Create an enrollment code or link
[5] body: In PCA Parent, create the enrollment code or link for that child.
[6] title: Connect the child device
[6] body: Use the approved enrollment/pairing flow.
[7] title: Choose protections
[7] body: Depending on verified platform capabilities, parents may configure screen-time rules, schedules, app/web controls and other supported protections.
[8] title: Review status and respond
[8] body: PCA Parent should help the parent understand whether protection is working and respond to supported child requests.","[1] title: إنشاء حساب الوالدين
[1] body: استخدم البريد الإلكتروني وكلمة المرور لإنشاء حساب PCA Parent.
[2] title: تأكيد البريد الإلكتروني
[2] body: أكّد بريدك الإلكتروني لتفعيل الوصول إلى PCA Parent.
[3] title: إعداد الطفل داخل PCA Parent
[3] body: يتم إعداد الطفل داخل بيئة PCA Parent المحمية.
[4] title: تثبيت PCA Child
[4] body: اتبع الإرشادات المناسبة للجهاز الذي تقوم بإعداده.
[5] title: إنشاء رمز أو رابط التسجيل
[5] body: أنشئ من داخل PCA Parent رمز التسجيل أو الرابط الخاص بهذا الطفل.
[6] title: ربط جهاز الطفل
[6] body: يتم استخدام مسار التسجيل والربط المعتمد.
[7] title: اختيار إعدادات الحماية
[7] body: حسب الإمكانات الفعلية للمنصة، يمكن للوالدين إعداد وقت الشاشة والجداول والتحكم بالتطبيقات والويب وغيرها من وظائف الحماية المدعومة.
[8] title: متابعة الحالة والطلبات
[8] body: يُفترض أن تساعد PCA Parent الوالدين على فهم حالة الحماية والتعامل مع الطلبات المدعومة، بحسب ما تدعمه المنصة.",REVISE_MEDIUM,MEDIUM,"[1] title: إنشاء حساب الوالدين
[1] body: استخدم البريد الإلكتروني وكلمة المرور لإنشاء حساب PCA Parent.
[2] title: تأكيد البريد الإلكتروني
[2] body: أكّد بريدك الإلكتروني لتفعيل الوصول إلى PCA Parent.
[3] title: إعداد الطفل داخل PCA Parent
[3] body: يتم إعداد الطفل داخل بيئة PCA Parent المحمية.
[4] title: تثبيت PCA Child
[4] body: اتبع الإرشادات المناسبة للجهاز الذي تقوم بإعداده.
[5] title: إنشاء رمز أو رابط التسجيل
[5] body: أنشئ من داخل PCA Parent رمز التسجيل أو الرابط الخاص بهذا الطفل.
[6] title: ربط جهاز الطفل
[6] body: استخدم مسار التسجيل والربط المعتمد.
[7] title: اختيار إعدادات الحماية
[7] body: وفقًا لإمكانات المنصة التي تم التحقق منها، يمكن للوالدين إعداد قواعد وقت الشاشة والجداول والتحكم بالتطبيقات والويب وغيرها من وسائل الحماية المدعومة.
[8] title: متابعة الحالة والطلبات
[8] body: ينبغي أن تساعد PCA Parent الوالدين على فهم ما إذا كانت الحماية تعمل والتعامل مع طلبات الطفل المدعومة.",يعيد مفهوم verified platform capabilities الذي اختفى في العربية، ويحافظ على صيغة should في الخطوة الأخيرة، ويحسن صياغة مسار التسجيل والربط.,CLM-024; COMING_LATER,NO,CHANGED_STRING
legal.provisionalNotice,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",legal,This is a provisional draft and is not the published legal document. It is pending legal review and is not indexed.,هذه مسودة أولية وليست الوثيقة القانونية المنشورة. ما زالت قيد المراجعة القانونية ولا تظهر في محركات البحث.,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,LEGAL
nav.download,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Download,التنزيل والتثبيت,REVISE_LOW,LOW,التنزيل,المصدر هو Download فقط؛ إضافة «والتثبيت» توسع عنوان التنقل دون سند من هذا المفتاح.,NONE,NO,CHANGED_STRING
notFound.arabicHomeCta,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Return to the home page,العودة إلى الصفحة الرئيسية,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
notFound.homeCta,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Go to the PCA home page,اذهب إلى الصفحة الرئيسية لـPCA,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,NO,CTA
privacy.advanced.items,/ar/privacy/,Privacy & Safety,advanced,"[1] title: Separate Parent and Platform Admin authority
[1] body: PCA Parent and PCA Platform Admin are separate security/session/RBAC realms. An internal operator interface must not become a shortcut into a parent's protected experience.
[2] title: No hidden surveillance controls
[2] body: PCA is not designed around password capture, message capture, covert TLS interception, background gallery scanning or hidden screen recording.","[1] title: فصل PCA Parent عن PCA Platform Admin
[1] body: PCA Parent وPCA Platform Admin بيئتان منفصلتان من ناحية الجلسات والصلاحيات. لا يجوز أن تصبح لوحة الإدارة الداخلية طريقًا مختصرًا للدخول إلى تجربة الوالدين المحمية.
[2] title: لم تُصمم PCA حول المراقبة الخفية
[2] body: لم تُصمم PCA حول التقاط كلمات المرور أو الرسائل، أو اعتراض TLS بشكل خفي، أو فحص معرض الصور في الخلفية، أو تسجيل الشاشة سرًا.",REVISE_MEDIUM,MEDIUM,"[1] title: فصل PCA Parent عن PCA Platform Admin
[1] body: PCA Parent وPCA Platform Admin بيئتان منفصلتان من حيث الأمان والجلسات والأدوار والصلاحيات. ويجب ألا تتحول واجهة المشغّل الداخلية إلى طريق مختصر للوصول إلى تجربة الوالدين المحمية.
[2] title: لم تُصمم PCA حول المراقبة الخفية
[2] body: لم تُصمم PCA حول التقاط كلمات المرور أو الرسائل، أو اعتراض اتصالات TLS بشكل خفي، أو فحص معرض الصور في الخلفية، أو تسجيل الشاشة سرًا.",العربية الحالية تحذف بُعد الأمان والأدوار من security/session/RBAC realms. المقترح يشرح المعنى دون عرض مصطلح RBAC الداخلي، ويجعل TLS مفهومًا ضمن عبارة عربية.,CLM-046; VERIFIED_AVAILABLE,YES,CHANGED_STRING;HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.advanced.lead,/ar/privacy/,Privacy & Safety,advanced,This part is for parents who want the technical picture. You do not need it to use PCA.,هذا القسم لمن يرغب في الصورة التقنية، ولا تحتاج إليه لاستخدام PCA.,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.advanced.title,/ar/privacy/,Privacy & Safety,advanced,More technical detail,تفاصيل تقنية إضافية,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.cta.policy,/ar/privacy/,Privacy & Safety,cta,Read the Detailed Privacy Policy,سياسة الخصوصية بالتفصيل,REVISE_LOW,LOW,اقرأ سياسة الخصوصية التفصيلية,المصدر دعوة فعلية للقراءة؛ النص الحالي اسم صفحة لا CTA.,NONE,NO,CHANGED_STRING;HIGH_RISK_PRIVACY_SECURITY;CTA
privacy.faq.items,/ar/privacy/,Privacy & Safety,faq,"[1] q: Does PCA collect my child's data?
[1] a: PCA needs to process some information to provide protection. The design goal is to keep sensitive activity on trusted family-side devices or synchronize it end-to-end encrypted where required, instead of creating a readable central PCA profile. Central services still need minimum account and technical data to operate.
[2] q: How do I report a privacy or security concern?
[2] a: If you believe you have found a security issue, please hold it until PCA publishes its reporting channels — see Contact. Do not include child-sensitive content unless the support team explicitly and safely requests specific information.","[1] q: هل تجمع PCA معلومات طفلي؟
[1] a: تحتاج PCA إلى معالجة بعض المعلومات حتى تعمل وظائف الحماية. الهدف هو إبقاء النشاط الحساس على الأجهزة الموثوقة لدى الوالدين والطفل، أو مزامنته بتشفير من طرف إلى طرف حيث يلزم، بدل إنشاء ملف مركزي مقروء لدى PCA. وفي الوقت نفسه تحتاج الخدمات المركزية إلى الحد الأدنى من معلومات الحساب والتشغيل.
[2] q: كيف أبلغ عن مشكلة تتعلق بالخصوصية أو الأمان؟
[2] a: إذا كنت تعتقد أنك وجدت مشكلة أمنية، فيرجى الانتظار حتى تنشر PCA قنوات الإبلاغ — راجع صفحة التواصل. لا ترسل معلومات حساسة عن الطفل إلا إذا طُلبت منك معلومة محددة وضرورية بطريقة آمنة.",REVISE_MEDIUM,MEDIUM,"[1] q: هل تجمع PCA معلومات طفلي؟
[1] a: تحتاج PCA إلى معالجة بعض المعلومات حتى تعمل وظائف الحماية. الهدف هو إبقاء النشاط الحساس على الأجهزة الموثوقة لدى الأسرة، أو مزامنته بتشفير من طرف إلى طرف عند الحاجة، بدلًا من إنشاء ملف مركزي مقروء لدى PCA. وفي الوقت نفسه، تحتاج الخدمات المركزية إلى الحد الأدنى من معلومات الحساب والمعلومات التقنية لتشغيل الخدمة.
[2] q: كيف أبلغ عن مشكلة تتعلق بالخصوصية أو الأمان؟
[2] a: إذا كنت تعتقد أنك وجدت مشكلة أمنية، فيُرجى الانتظار حتى تنشر PCA قنوات الإبلاغ — راجع صفحة التواصل. لا ترسل معلومات حساسة عن الطفل إلا إذا طُلبت منك معلومة محددة وضرورية بطريقة آمنة.",يعيد technical data التي تحولت إلى «معلومات التشغيل»، ويحافظ على where required بصياغة «عند الحاجة» دون تقوية الادعاء.,NONE,YES,CHANGED_STRING;HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.faq.title,/ar/privacy/,Privacy & Safety,faq,Common privacy questions,أسئلة شائعة عن الخصوصية,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.hero.body,/ar/privacy/,Privacy & Safety,hero,PCA is designed to provide protection without building a readable central profile of your child's sensitive activity.,صُممت PCA لتقديم الحماية دون إنشاء ملف مركزي مقروء عن النشاط الحساس لطفلك.,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.hero.title,/ar/privacy/,Privacy & Safety,hero,"Your child's activity belongs to you, not to us",نشاط طفلك يخصك أنت، وليس PCA,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.honesty.body,/ar/privacy/,Privacy & Safety,honesty,An online account service needs some technical and account information to operate. A slogan promising otherwise would hide that reality. The meaningful privacy promise is that PCA must not turn sensitive child activity into a readable central database.,تحتاج أي خدمة حسابات على الإنترنت إلى قدر من المعلومات التقنية ومعلومات الحساب حتى تعمل، وأي شعار يوحي بعكس ذلك قد يكون مضللًا. الوعد الأهم هو أن PCA لا يجب أن تحول النشاط الحساس للطفل إلى قاعدة بيانات مركزية مقروءة.,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.honesty.title,/ar/privacy/,Privacy & Safety,honesty,Why we avoid absolute privacy slogans,لماذا نتجنب الشعارات المطلقة عن الخصوصية؟,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.notStored.items,/ar/privacy/,Privacy & Safety,notStored,"[1] photos and videos;
[2] arbitrary files/documents;
[3] messages;
[4] readable app-usage history;
[5] readable browsing history;
[6] readable precise-location history;
[7] microphone recordings;
[8] screenshots/background screen recordings;
[9] passwords or credentials.","[1] الصور والفيديوهات؛
[2] الملفات والمستندات العشوائية؛
[3] الرسائل الشخصية؛
[4] سجل استخدام التطبيقات المقروء؛
[5] سجل التصفح المقروء؛
[6] سجل الموقع الدقيق المقروء؛
[7] تسجيلات الميكروفون؛
[8] لقطات الشاشة أو التسجيلات الخلفية للشاشة؛
[9] كلمات المرور أو بيانات الاعتماد.",REVISE_MEDIUM,MEDIUM,"[1] الصور والفيديوهات؛
[2] الملفات أو المستندات الأخرى على الجهاز؛
[3] الرسائل الشخصية؛
[4] سجل استخدام التطبيقات المقروء؛
[5] سجل التصفح المقروء؛
[6] سجل الموقع الدقيق المقروء؛
[7] تسجيلات الميكروفون؛
[8] لقطات الشاشة أو تسجيلات الشاشة في الخلفية؛
[9] كلمات المرور أو بيانات الاعتماد.",«الملفات العشوائية» و«التسجيلات الخلفية للشاشة» تعبيران غير طبيعيين وقد يربكان القارئ؛ المقترح أوضح مع الحفاظ على نطاق الحظر.,NONE,YES,CHANGED_STRING;HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.notStored.title,/ar/privacy/,Privacy & Safety,notStored,What PCA must not store centrally as readable child content,ما الذي يجب ألا تخزنه PCA مركزيًا كمحتوى مقروء للطفل؟,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.principles.items,/ar/privacy/,Privacy & Safety,principles,"[1] title: Protection without surveillance
[1] body: Use the minimum information needed for useful protection.
[2] title: Privacy by design
[2] body: Keep sensitive child activity within trusted family-side systems wherever possible.
[3] title: Transparency
[3] body: Parents should understand what a feature does and what information it needs.
[4] title: Child dignity
[4] body: Protection should not humiliate children or treat them as suspects.
[5] title: Age-appropriate protection
[5] body: Different ages and family situations need different boundaries.
[6] title: Parent responsibility
[6] body: PCA supports parents; it does not replace communication, judgment or care.
[7] title: No hidden monitoring
[7] body: PCA should not depend on covert message capture, password capture, hidden screen recording or background gallery collection.
[8] title: Accessible safety
[8] body: Meaningful protection should be designed for broad family access.
[9] title: No false capability claims
[9] body: Trust requires honesty about what is available, limited or coming later.","[1] title: الحماية دون مراقبة مفرطة
[1] body: استخدم الحد الأدنى من المعلومات المطلوبة لتحقيق حماية مفيدة.
[2] title: الخصوصية من أساس التصميم
[2] body: أبقِ النشاط الحساس للطفل ضمن الأجهزة والأنظمة الموثوقة لدى الوالدين والطفل قدر الإمكان.
[3] title: الشفافية
[3] body: يجب أن يفهم الوالدان ما الذي تفعله الميزة وما المعلومات التي تحتاجها.
[4] title: كرامة الطفل
[4] body: يجب ألا تُهين الحماية الطفل أو تتعامل معه كمتهم.
[5] title: حماية مناسبة للعمر
[5] body: الأعمار والظروف الأسرية المختلفة تحتاج حدودًا مختلفة.
[6] title: مسؤولية الوالدين
[6] body: PCA أداة مساعدة، وليست بديلًا عن الحوار والحكم السليم والرعاية.
[7] title: لا مراقبة خفية
[7] body: لا ينبغي أن تعتمد PCA على التقاط الرسائل أو كلمات المرور أو تسجيل الشاشة سرًا أو جمع صور الطفل في الخلفية.
[8] title: حماية يمكن الوصول إليها
[8] body: ينبغي تصميم الحماية المفيدة لتصل إلى عدد أكبر من الأسر.
[9] title: لا ادعاءات غير صحيحة
[9] body: الثقة تحتاج إلى الصراحة بشأن ما هو متاح وما هو محدود وما سيأتي لاحقًا.",REVISE_HIGH,HIGH,"[1] title: الحماية دون تجسّس
[1] body: استخدم الحد الأدنى من المعلومات المطلوبة لتحقيق حماية مفيدة.
[2] title: الخصوصية جزء من التصميم
[2] body: أبقِ النشاط الحساس للطفل ضمن الأنظمة الموثوقة لدى الأسرة قدر الإمكان.
[3] title: الشفافية
[3] body: يجب أن يفهم الوالدان ما الذي تفعله الميزة وما المعلومات التي تحتاجها.
[4] title: كرامة الطفل
[4] body: يجب ألا تُهين الحماية الطفل أو تتعامل معه كمتهم.
[5] title: حماية مناسبة للعمر
[5] body: الأعمار والظروف الأسرية المختلفة تحتاج حدودًا مختلفة.
[6] title: مسؤولية الوالدين
[6] body: PCA أداة مساعدة، وليست بديلًا عن الحوار والحكم السليم والرعاية.
[7] title: لا مراقبة خفية
[7] body: لا ينبغي أن تعتمد PCA على التقاط الرسائل أو كلمات المرور أو تسجيل الشاشة سرًا أو جمع صور الطفل في الخلفية.
[8] title: حماية متاحة لأسر أكثر
[8] body: ينبغي تصميم وسائل حماية مفيدة لتكون متاحة لعدد أكبر من الأسر.
[9] title: لا ادعاءات غير صحيحة
[9] body: الثقة تحتاج إلى الصراحة بشأن ما هو متاح وما هو محدود وما سيأتي لاحقًا.",العنوان «الحماية دون مراقبة مفرطة» يضعف المصدر Protection without surveillance لأنه يسمح ضمنيًا بمراقبة غير «مفرطة». هذا انحراف في قوة مبدأ الخصوصية، لذلك التصنيف مرتفع.,NONE,YES,CHANGED_STRING;HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.principles.lead,/ar/privacy/,Privacy & Safety,principles,Digital protection should help families reduce risk without teaching children that constant surveillance is normal.,يجب أن تساعد الحماية الرقمية الأسرة على تقليل المخاطر دون أن يتعلم الطفل أن المراقبة الدائمة أمر طبيعي.,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.principles.title,/ar/privacy/,Privacy & Safety,principles,Protect children. Respect childhood.,احمِ الطفل واحترم طفولته,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.retention.body,/ar/privacy/,Privacy & Safety,retention,"[1] Parent control over account and protection information is part of PCA's design intent, but the controls are not built yet.
[2] Central information should be kept only as long as it is needed to run the service, keep it secure and meet legal obligations. Exact deletion and retention behaviour will be documented once it has been verified.","[1] تحكم الوالدين في الحساب وفي معلومات الحماية جزء من نية التصميم في PCA، لكن هذه الأدوات لم تُبنَ بعد.
[2] ينبغي عدم الاحتفاظ بالمعلومات المركزية إلا للمدة اللازمة لتشغيل الخدمة والحفاظ على أمانها والوفاء بالالتزامات القانونية. وسيتم توثيق السلوك الدقيق للاحتفاظ والحذف بعد التحقق منه.",REVISE_LOW,LOW,"[1] تحكم الوالدين في الحساب ومعلومات الحماية جزء من أهداف تصميم PCA، لكن أدوات التحكم هذه لم تُبنَ بعد.
[2] ينبغي عدم الاحتفاظ بالمعلومات المركزية إلا للمدة اللازمة لتشغيل الخدمة والحفاظ على أمانها والوفاء بالالتزامات القانونية. وسيتم توثيق السلوك الدقيق للاحتفاظ والحذف بعد التحقق منه.",«نية التصميم» ترجمة حرفية؛ «أهداف تصميم PCA» أوضح ولا تغيّر كون الأدوات غير مبنية بعد.,NONE,YES,CHANGED_STRING;HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.retention.title,/ar/privacy/,Privacy & Safety,retention,Keeping and deleting information,الاحتفاظ بالمعلومات وحذفها,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.seo.description,/ar/privacy/,Privacy & Safety,seo,"Understand PCA's local-first privacy approach, family-side data, minimum central technical records and the child safety principles behind them.",تعرّف على نهج PCA في المعالجة المحلية، والمعلومات الموجودة ضمن الأجهزة الموثوقة، والحد الأدنى من المعلومات التقنية المركزية، ومبادئ سلامة الطفل.,REVISE_MEDIUM,MEDIUM,تعرّف على نهج PCA الذي يعطي الأولوية للمعالجة المحلية، وعلى المعلومات التي تبقى لدى الأسرة، والحد الأدنى من السجلات التقنية المركزية، ومبادئ سلامة الطفل التي يقوم عليها هذا النهج.,يعيد local-first وfamily-side data بصورة أوضح؛ النص الحالي يحصر family-side في «الأجهزة الموثوقة» ويضعف معنى أولوية المعالجة المحلية.,NONE,NO,CHANGED_STRING
privacy.topics.items,/ar/privacy/,Privacy & Safety,topics,"[1] title: Photos, videos and files
[1] body: PCA does not need routine access to a child's photo library, videos or arbitrary files. These must not be collected into a readable central PCA database.
[2] title: Messages
[2] body: No routine PCA protection feature is designed to capture or centrally read personal messages.
[3] title: App use and screen time
[3] body: Readable app-usage history must not become centrally readable PCA data. App use may be processed locally where needed for protection.
[4] title: Browsing protection
[4] body: PCA's privacy rule is that readable browsing history must not be stored centrally. Web-safety functions may still need local processing to make protection decisions.
[5] title: Location
[5] body: Location is sensitive. Any approved location feature must be parent-controlled and designed so readable precise-location history does not become central PCA data.
[6] title: Camera and eye distance
[6] body: Eye-distance protection using the camera is planned for a later release. It is not an active feature today, and how any future version would handle camera frames will be described here once it has been verified.","[1] title: الصور والفيديوهات والملفات
[1] body: لا تحتاج الحماية المعتادة إلى الوصول إلى مكتبة صور الطفل أو فيديوهاته أو ملفاته العشوائية، ويجب ألا تُجمع هذه الأشياء في قاعدة بيانات مركزية مقروءة لدى PCA.
[2] title: الرسائل
[2] body: لم تُصمم وظائف الحماية المعتادة في PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[3] title: استخدام التطبيقات ووقت الشاشة
[3] body: يجب ألا يتحول سجل استخدام التطبيقات المقروء إلى بيانات مركزية لدى PCA. يمكن معالجة استخدام التطبيقات محليًا عندما تحتاج وظيفة الحماية إلى ذلك.
[4] title: الحماية أثناء التصفح
[4] body: قاعدة الخصوصية في PCA هي عدم حفظ سجل التصفح المقروء مركزيًا. وقد تحتاج الحماية على الويب إلى معالجة محلية لاتخاذ قرار الحماية.
[5] title: الموقع
[5] body: الموقع معلومات حساسة. يجب أن تكون أي ميزة موقع معتمدة تحت تحكم الوالدين، وألا يتحول سجل الموقع الدقيق المقروء إلى بيانات مركزية لدى PCA.
[6] title: الكاميرا والمسافة عن الشاشة
[6] body: حماية المسافة بين العين والشاشة عبر الكاميرا مخطط لها في إصدار لاحق. وهي ليست ميزة فعّالة اليوم، وسنوضح هنا كيفية تعامل أي إصدار مستقبلي مع صور الكاميرا بعد التحقق من ذلك.",REVISE_HIGH,HIGH,"[1] title: الصور والفيديوهات والملفات
[1] body: لا تحتاج الحماية المعتادة إلى الوصول إلى مكتبة صور الطفل أو مقاطع الفيديو أو الملفات الأخرى على الجهاز، ويجب ألا تُجمع هذه المحتويات في قاعدة بيانات مركزية مقروءة لدى PCA.
[2] title: الرسائل
[2] body: لم تُصمم وظائف الحماية المعتادة في PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[3] title: استخدام التطبيقات ووقت الشاشة
[3] body: يجب ألا يتحول سجل استخدام التطبيقات المقروء إلى بيانات مركزية مقروءة لدى PCA. وقد تتم معالجة استخدام التطبيقات محليًا عند الحاجة إلى ذلك للحماية.
[4] title: الحماية أثناء التصفح
[4] body: قاعدة الخصوصية في PCA هي عدم حفظ سجل التصفح المقروء مركزيًا. وقد تحتاج وظائف السلامة على الويب إلى معالجة محلية لاتخاذ قرارات الحماية.
[5] title: الموقع
[5] body: الموقع معلومات حساسة. يجب أن تكون أي ميزة معتمدة للموقع تحت تحكم الوالدين، وأن تُصمم بحيث لا يتحول سجل الموقع الدقيق المقروء إلى بيانات مركزية مقروءة لدى PCA.
[6] title: الكاميرا والمسافة عن الشاشة
[6] body: حماية المسافة بين العين والشاشة باستخدام الكاميرا مخطط لها في إصدار لاحق. وهي غير متاحة حاليًا، وسنوضح هنا كيفية تعامل أي إصدار مستقبلي مع صور الكاميرا بعد التحقق من ذلك.",في البندين 3 و5 حذفت العربية الحالية قيد «centrally readable»، فأصبحت توحي بعدم وجود أي بيانات مركزية مطلقًا، وهو ادعاء أقوى من الإنجليزية. كما أن «فعّالة اليوم» قد تُفهم كالكفاءة لا حالة الإتاحة. هذا انحراف عالي الخطورة في الخصوصية وحالة الميزة.,CLM-036; CLM-037; REQUIRES_PLATFORM_SUPPORT; COMING_LATER,YES,CHANGED_STRING;HIGH_RISK_PRIVACY_SECURITY;LEGAL
privacy.topics.title,/ar/privacy/,Privacy & Safety,topics,"What this means, topic by topic",ماذا يعني ذلك لكل نوع من المعلومات؟,PASS,NONE,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NONE,YES,HIGH_RISK_PRIVACY_SECURITY;LEGAL
