KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,CLAIM_ID,CLAIM_STATUS,CONTENT_CATEGORY,RISK_LEVEL,REVIEW_DECISION,PROPOSED_ARABIC,REVIEWER_NOTE,LEGAL_REVIEW_REQUIRED
howItWorks.steps.items,/ar/how-it-works/,How PCA Works,steps,"[1] title: Create your parent account
[1] body: Use your email and password to create PCA Parent access.
[2] title: Verify your email
[2] body: Confirm your email address to activate PCA Parent access.
[3] title: Set up your child inside PCA Parent
[3] body: Child setup belongs within the protected Parent experience.
[4] title: Install PCA Child
[4] body: Follow the guidance for the device you are setting up.
[5] title: Create an enrollment code or link
[5] body: In PCA Parent, create the enrollment code or link for that child.
[6] title: Connect the child device
[6] body: Use the approved enrollment/pairing flow.
[7] title: Choose protections
[7] body: Depending on verified platform capabilities, parents may configure screen-time rules, schedules, app/web controls and other supported protections.
[8] title: Review status and respond
[8] body: PCA Parent should help the parent understand whether protection is working and respond to supported child requests.","[1] title: إنشاء حساب الوالدين
[1] body: استخدم البريد الإلكتروني وكلمة المرور لإنشاء حساب PCA Parent.
[2] title: تأكيد البريد الإلكتروني
[2] body: أكّد بريدك الإلكتروني لتفعيل الوصول إلى PCA Parent.
[3] title: إعداد الطفل داخل PCA Parent
[3] body: يتم إعداد الطفل داخل بيئة PCA Parent المحمية.
[4] title: تثبيت PCA Child
[4] body: اتبع الإرشادات المناسبة للجهاز الذي تقوم بإعداده.
[5] title: إنشاء رمز أو رابط التسجيل
[5] body: أنشئ من داخل PCA Parent رمز التسجيل أو الرابط الخاص بهذا الطفل.
[6] title: ربط جهاز الطفل
[6] body: يتم استخدام مسار التسجيل والربط المعتمد.
[7] title: اختيار إعدادات الحماية
[7] body: حسب الإمكانات الفعلية للمنصة، يمكن للوالدين إعداد وقت الشاشة والجداول والتحكم بالتطبيقات والويب وغيرها من وظائف الحماية المدعومة.
[8] title: متابعة الحالة والطلبات
[8] body: يُفترض أن تساعد PCA Parent الوالدين على فهم حالة الحماية والتعامل مع الطلبات المدعومة، بحسب ما تدعمه المنصة.",CLM-024,COMING_LATER,BODY_COPY,CRITICAL,PENDING_REVIEW,,,NO
howItWorks.steps.label,/ar/how-it-works/,How PCA Works,steps,The journey,المسار,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
howItWorks.steps.title,/ar/how-it-works/,How PCA Works,steps,Eight steps,ثماني خطوات,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
legal.provisionalNotice,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",legal,This is a provisional draft and is not the published legal document. It is pending legal review and is not indexed.,هذه مسودة أولية وليست الوثيقة القانونية المنشورة. ما زالت قيد المراجعة القانونية ولا تظهر في محركات البحث.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
nav.about,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,About,عن PCA,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.access,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Access,إتاحة الخدمة,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.accessibility,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Accessibility,إمكانية الوصول,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.childSafety,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Child Safety Principles,مبادئ سلامة الطفل,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.contact,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Contact,التواصل,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.download,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Download,التنزيل والتثبيت,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.faq,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Help,المساعدة,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.features,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Features,المزايا,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.home,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Home,الرئيسية,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.howItWorks,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,How It Works,كيف تعمل PCA؟,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.languageLabel,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Language,اللغة,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.menu,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Menu,القائمة,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.parents,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,For Parents,للوالدين,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.primaryLabel,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Primary,التنقل الرئيسي,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.privacy,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Privacy & Safety,الخصوصية والسلامة,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.privacyPolicy,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Privacy Policy,سياسة الخصوصية,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.security,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Security,الأمان,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.terms,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Terms,الشروط,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
nav.whyPca,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",nav,Why PCA,لماذا PCA؟,NONE,NONE,NAVIGATION_CHROME,LOW,PENDING_REVIEW,,,NO
notFound.arabicHomeCta,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Return to the home page,العودة إلى الصفحة الرئيسية,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
notFound.arabicNote,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,The page is not available.,الصفحة غير متاحة.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
notFound.body,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,"The page you were looking for is not available. It may have moved, or the link may be incomplete.",الصفحة التي تبحث عنها غير متاحة. ربما تكون قد نُقلت، أو أن الرابط غير مكتمل.,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
notFound.homeCta,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Go to the PCA home page,اذهب إلى الصفحة الرئيسية لـPCA,NONE,NONE,BODY_COPY,MEDIUM,PENDING_REVIEW,,,NO
notFound.seo.title,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Page not found — PCA,الصفحة غير موجودة — PCA,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
notFound.title,/ar/ /ar/how-it-works/ /ar/privacy/ /ar/contact/ /ar/accessibility/ /ar/privacy-policy/ /ar/terms/,"Site-wide (header, footer, navigation)",notFound,Page not found,الصفحة غير موجودة,NONE,NONE,HEADING,MEDIUM,PENDING_REVIEW,,,NO
privacy.advanced.items,/ar/privacy/,Privacy & Safety,advanced,"[1] title: Separate Parent and Platform Admin authority
[1] body: PCA Parent and PCA Platform Admin are separate security/session/RBAC realms. An internal operator interface must not become a shortcut into a parent's protected experience.
[2] title: No hidden surveillance controls
[2] body: PCA is not designed around password capture, message capture, covert TLS interception, background gallery scanning or hidden screen recording.","[1] title: فصل PCA Parent عن PCA Platform Admin
[1] body: PCA Parent وPCA Platform Admin بيئتان منفصلتان من ناحية الجلسات والصلاحيات. لا يجوز أن تصبح لوحة الإدارة الداخلية طريقًا مختصرًا للدخول إلى تجربة الوالدين المحمية.
[2] title: لم تُصمم PCA حول المراقبة الخفية
[2] body: لم تُصمم PCA حول التقاط كلمات المرور أو الرسائل، أو اعتراض TLS بشكل خفي، أو فحص معرض الصور في الخلفية، أو تسجيل الشاشة سرًا.",CLM-046,VERIFIED_AVAILABLE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.advanced.lead,/ar/privacy/,Privacy & Safety,advanced,This part is for parents who want the technical picture. You do not need it to use PCA.,هذا القسم لمن يرغب في الصورة التقنية، ولا تحتاج إليه لاستخدام PCA.,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.advanced.title,/ar/privacy/,Privacy & Safety,advanced,More technical detail,تفاصيل تقنية إضافية,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.cta.policy,/ar/privacy/,Privacy & Safety,cta,Read the Detailed Privacy Policy,سياسة الخصوصية بالتفصيل,NONE,NONE,CTA,HIGH,PENDING_REVIEW,,,NO
privacy.faq.items,/ar/privacy/,Privacy & Safety,faq,"[1] q: Does PCA collect my child's data?
[1] a: PCA needs to process some information to provide protection. The design goal is to keep sensitive activity on trusted family-side devices or synchronize it end-to-end encrypted where required, instead of creating a readable central PCA profile. Central services still need minimum account and technical data to operate.
[2] q: How do I report a privacy or security concern?
[2] a: If you believe you have found a security issue, please hold it until PCA publishes its reporting channels — see Contact. Do not include child-sensitive content unless the support team explicitly and safely requests specific information.","[1] q: هل تجمع PCA معلومات طفلي؟
[1] a: تحتاج PCA إلى معالجة بعض المعلومات حتى تعمل وظائف الحماية. الهدف هو إبقاء النشاط الحساس على الأجهزة الموثوقة لدى الوالدين والطفل، أو مزامنته بتشفير من طرف إلى طرف حيث يلزم، بدل إنشاء ملف مركزي مقروء لدى PCA. وفي الوقت نفسه تحتاج الخدمات المركزية إلى الحد الأدنى من معلومات الحساب والتشغيل.
[2] q: كيف أبلغ عن مشكلة تتعلق بالخصوصية أو الأمان؟
[2] a: إذا كنت تعتقد أنك وجدت مشكلة أمنية، فيرجى الانتظار حتى تنشر PCA قنوات الإبلاغ — راجع صفحة التواصل. لا ترسل معلومات حساسة عن الطفل إلا إذا طُلبت منك معلومة محددة وضرورية بطريقة آمنة.",NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.faq.title,/ar/privacy/,Privacy & Safety,faq,Common privacy questions,أسئلة شائعة عن الخصوصية,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.hero.body,/ar/privacy/,Privacy & Safety,hero,PCA is designed to provide protection without building a readable central profile of your child's sensitive activity.,صُممت PCA لتقديم الحماية دون إنشاء ملف مركزي مقروء عن النشاط الحساس لطفلك.,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.hero.title,/ar/privacy/,Privacy & Safety,hero,"Your child's activity belongs to you, not to us",نشاط طفلك يخصك أنت، وليس PCA,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.honesty.body,/ar/privacy/,Privacy & Safety,honesty,An online account service needs some technical and account information to operate. A slogan promising otherwise would hide that reality. The meaningful privacy promise is that PCA must not turn sensitive child activity into a readable central database.,تحتاج أي خدمة حسابات على الإنترنت إلى قدر من المعلومات التقنية ومعلومات الحساب حتى تعمل، وأي شعار يوحي بعكس ذلك قد يكون مضللًا. الوعد الأهم هو أن PCA لا يجب أن تحول النشاط الحساس للطفل إلى قاعدة بيانات مركزية مقروءة.,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.honesty.title,/ar/privacy/,Privacy & Safety,honesty,Why we avoid absolute privacy slogans,لماذا نتجنب الشعارات المطلقة عن الخصوصية؟,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.notStored.items,/ar/privacy/,Privacy & Safety,notStored,"[1] photos and videos;
[2] arbitrary files/documents;
[3] messages;
[4] readable app-usage history;
[5] readable browsing history;
[6] readable precise-location history;
[7] microphone recordings;
[8] screenshots/background screen recordings;
[9] passwords or credentials.","[1] الصور والفيديوهات؛
[2] الملفات والمستندات العشوائية؛
[3] الرسائل الشخصية؛
[4] سجل استخدام التطبيقات المقروء؛
[5] سجل التصفح المقروء؛
[6] سجل الموقع الدقيق المقروء؛
[7] تسجيلات الميكروفون؛
[8] لقطات الشاشة أو التسجيلات الخلفية للشاشة؛
[9] كلمات المرور أو بيانات الاعتماد.",NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.notStored.title,/ar/privacy/,Privacy & Safety,notStored,What PCA must not store centrally as readable child content,ما الذي يجب ألا تخزنه PCA مركزيًا كمحتوى مقروء للطفل؟,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.principles.items,/ar/privacy/,Privacy & Safety,principles,"[1] title: Protection without surveillance
[1] body: Use the minimum information needed for useful protection.
[2] title: Privacy by design
[2] body: Keep sensitive child activity within trusted family-side systems wherever possible.
[3] title: Transparency
[3] body: Parents should understand what a feature does and what information it needs.
[4] title: Child dignity
[4] body: Protection should not humiliate children or treat them as suspects.
[5] title: Age-appropriate protection
[5] body: Different ages and family situations need different boundaries.
[6] title: Parent responsibility
[6] body: PCA supports parents; it does not replace communication, judgment or care.
[7] title: No hidden monitoring
[7] body: PCA should not depend on covert message capture, password capture, hidden screen recording or background gallery collection.
[8] title: Accessible safety
[8] body: Meaningful protection should be designed for broad family access.
[9] title: No false capability claims
[9] body: Trust requires honesty about what is available, limited or coming later.","[1] title: الحماية دون مراقبة مفرطة
[1] body: استخدم الحد الأدنى من المعلومات المطلوبة لتحقيق حماية مفيدة.
[2] title: الخصوصية من أساس التصميم
[2] body: أبقِ النشاط الحساس للطفل ضمن الأجهزة والأنظمة الموثوقة لدى الوالدين والطفل قدر الإمكان.
[3] title: الشفافية
[3] body: يجب أن يفهم الوالدان ما الذي تفعله الميزة وما المعلومات التي تحتاجها.
[4] title: كرامة الطفل
[4] body: يجب ألا تُهين الحماية الطفل أو تتعامل معه كمتهم.
[5] title: حماية مناسبة للعمر
[5] body: الأعمار والظروف الأسرية المختلفة تحتاج حدودًا مختلفة.
[6] title: مسؤولية الوالدين
[6] body: PCA أداة مساعدة، وليست بديلًا عن الحوار والحكم السليم والرعاية.
[7] title: لا مراقبة خفية
[7] body: لا ينبغي أن تعتمد PCA على التقاط الرسائل أو كلمات المرور أو تسجيل الشاشة سرًا أو جمع صور الطفل في الخلفية.
[8] title: حماية يمكن الوصول إليها
[8] body: ينبغي تصميم الحماية المفيدة لتصل إلى عدد أكبر من الأسر.
[9] title: لا ادعاءات غير صحيحة
[9] body: الثقة تحتاج إلى الصراحة بشأن ما هو متاح وما هو محدود وما سيأتي لاحقًا.",NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.principles.lead,/ar/privacy/,Privacy & Safety,principles,Digital protection should help families reduce risk without teaching children that constant surveillance is normal.,يجب أن تساعد الحماية الرقمية الأسرة على تقليل المخاطر دون أن يتعلم الطفل أن المراقبة الدائمة أمر طبيعي.,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.principles.title,/ar/privacy/,Privacy & Safety,principles,Protect children. Respect childhood.,احمِ الطفل واحترم طفولته,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.retention.body,/ar/privacy/,Privacy & Safety,retention,"[1] Parent control over account and protection information is part of PCA's design intent, but the controls are not built yet.
[2] Central information should be kept only as long as it is needed to run the service, keep it secure and meet legal obligations. Exact deletion and retention behaviour will be documented once it has been verified.","[1] تحكم الوالدين في الحساب وفي معلومات الحماية جزء من نية التصميم في PCA، لكن هذه الأدوات لم تُبنَ بعد.
[2] ينبغي عدم الاحتفاظ بالمعلومات المركزية إلا للمدة اللازمة لتشغيل الخدمة والحفاظ على أمانها والوفاء بالالتزامات القانونية. وسيتم توثيق السلوك الدقيق للاحتفاظ والحذف بعد التحقق منه.",NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.retention.title,/ar/privacy/,Privacy & Safety,retention,Keeping and deleting information,الاحتفاظ بالمعلومات وحذفها,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.seo.description,/ar/privacy/,Privacy & Safety,seo,"Understand PCA's local-first privacy approach, family-side data, minimum central technical records and the child safety principles behind them.",تعرّف على نهج PCA في المعالجة المحلية، والمعلومات الموجودة ضمن الأجهزة الموثوقة، والحد الأدنى من المعلومات التقنية المركزية، ومبادئ سلامة الطفل.,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
privacy.seo.title,/ar/privacy/,Privacy & Safety,seo,PCA Privacy & Safety — Protection Without a Readable Central Child Profile,الخصوصية والسلامة في PCA — حماية دون إنشاء ملف مركزي مقروء للطفل,NONE,NONE,SEO_METADATA,MEDIUM,PENDING_REVIEW,,,NO
privacy.topics.items,/ar/privacy/,Privacy & Safety,topics,"[1] title: Photos, videos and files
[1] body: PCA does not need routine access to a child's photo library, videos or arbitrary files. These must not be collected into a readable central PCA database.
[2] title: Messages
[2] body: No routine PCA protection feature is designed to capture or centrally read personal messages.
[3] title: App use and screen time
[3] body: Readable app-usage history must not become centrally readable PCA data. App use may be processed locally where needed for protection.
[4] title: Browsing protection
[4] body: PCA's privacy rule is that readable browsing history must not be stored centrally. Web-safety functions may still need local processing to make protection decisions.
[5] title: Location
[5] body: Location is sensitive. Any approved location feature must be parent-controlled and designed so readable precise-location history does not become central PCA data.
[6] title: Camera and eye distance
[6] body: Eye-distance protection using the camera is planned for a later release. It is not an active feature today, and how any future version would handle camera frames will be described here once it has been verified.","[1] title: الصور والفيديوهات والملفات
[1] body: لا تحتاج الحماية المعتادة إلى الوصول إلى مكتبة صور الطفل أو فيديوهاته أو ملفاته العشوائية، ويجب ألا تُجمع هذه الأشياء في قاعدة بيانات مركزية مقروءة لدى PCA.
[2] title: الرسائل
[2] body: لم تُصمم وظائف الحماية المعتادة في PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[3] title: استخدام التطبيقات ووقت الشاشة
[3] body: يجب ألا يتحول سجل استخدام التطبيقات المقروء إلى بيانات مركزية لدى PCA. يمكن معالجة استخدام التطبيقات محليًا عندما تحتاج وظيفة الحماية إلى ذلك.
[4] title: الحماية أثناء التصفح
[4] body: قاعدة الخصوصية في PCA هي عدم حفظ سجل التصفح المقروء مركزيًا. وقد تحتاج الحماية على الويب إلى معالجة محلية لاتخاذ قرار الحماية.
[5] title: الموقع
[5] body: الموقع معلومات حساسة. يجب أن تكون أي ميزة موقع معتمدة تحت تحكم الوالدين، وألا يتحول سجل الموقع الدقيق المقروء إلى بيانات مركزية لدى PCA.
[6] title: الكاميرا والمسافة عن الشاشة
[6] body: حماية المسافة بين العين والشاشة عبر الكاميرا مخطط لها في إصدار لاحق. وهي ليست ميزة فعّالة اليوم، وسنوضح هنا كيفية تعامل أي إصدار مستقبلي مع صور الكاميرا بعد التحقق من ذلك.",CLM-036; CLM-037,REQUIRES_PLATFORM_SUPPORT; COMING_LATER,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.topics.title,/ar/privacy/,Privacy & Safety,topics,"What this means, topic by topic",ماذا يعني ذلك لكل نوع من المعلومات؟,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.where.items,/ar/privacy/,Privacy & Safety,where,"[1] title: What PCA processes locally
[1] body: Some protection functions need information on the child device. PCA's approach is to process that information locally wherever possible.
[2] title: What may synchronize between trusted family devices
[2] body: When sensitive protection information needs to move between trusted parent and child endpoints, PCA is designed to use end-to-end encrypted delivery where required. Production scope remains subject to security verification.
[3] title: What PCA central services need
[3] body: Central services may keep minimum technical records for parent accounts/authentication, opaque device/child identifiers, enrollment, entitlement/licensing, encrypted delivery, delivery state, timestamps and minimum operational/security metadata.","[1] title: ما الذي تتم معالجته محليًا؟
[1] body: تحتاج بعض وظائف الحماية إلى معلومات على جهاز الطفل. ونهج PCA هو إبقاء هذه المعالجة محليًا قدر الإمكان.
[2] title: ما الذي قد تتم مزامنته بين الأجهزة الموثوقة؟
[2] body: عندما يلزم انتقال معلومات حماية حساسة بين جهاز الوالدين وجهاز الطفل، صُممت PCA لاستخدام نقل مشفّر من طرف إلى طرف حيث يلزم. يبقى نطاق التشفير في الإنتاج خاضعًا للمراجعة الأمنية النهائية.
[3] title: ما الذي تحتاجه خدمات PCA المركزية؟
[3] body: قد تحتفظ الخدمات المركزية بالحد الأدنى من السجلات التقنية اللازمة لحساب الوالدين والمصادقة والمعرّفات المبهمة للأجهزة/الأطفال وحالة التسجيل والترخيص/الاستحقاق والتسليم المشفر وحالة التسليم والطوابع الزمنية والحد الأدنى من بيانات التشغيل والأمان.",CLM-015,LIMITED,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacy.where.title,/ar/privacy/,Privacy & Safety,where,Where your child's information lives,أين تبقى معلومات طفلك؟,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.account.body,/ar/privacy-policy/,Privacy Policy (provisional draft),account,"PCA may process parent email, authentication records and other minimum information required for account access, security and service administration.",قد تعالج PCA البريد الإلكتروني للوالدين وسجلات المصادقة والحد الأدنى من المعلومات المطلوبة للوصول والأمان وإدارة الخدمة.,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.account.title,/ar/privacy-policy/,Privacy Policy (provisional draft),account,Information we need for the parent account,معلومات حساب الوالدين,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.childDevice.body,/ar/privacy-policy/,Privacy Policy (provisional draft),childDevice,PCA may use opaque child/device identifiers and enrollment state centrally. Sensitive child protection information should remain family-side or encrypted in transit/relay according to the approved architecture.,قد تستخدم PCA معرفات غير مقروءة للطفل والجهاز وحالة التسجيل مركزيًا. أما معلومات الحماية الحساسة فيجب أن تبقى ضمن الأجهزة الموثوقة أو مشفرة بحسب البنية المعتمدة.,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.childDevice.title,/ar/privacy-policy/,Privacy Policy (provisional draft),childDevice,Child/device information,معلومات الطفل والجهاز,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.contact.body,/ar/privacy-policy/,Privacy Policy (provisional draft),contact,Final privacy contact and legal entity details are pending owner approval.,بيانات جهة الخصوصية والجهة القانونية النهائية ما زالت بانتظار الاعتماد.,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.contact.title,/ar/privacy-policy/,Privacy Policy (provisional draft),contact,Contact,التواصل,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.cookies.body,/ar/privacy-policy/,Privacy Policy (provisional draft),cookies,Final disclosure is pending runtime inspection. PCA's recommended posture is to minimize tracking and avoid advertising/session-replay technologies on sensitive authenticated surfaces.,الإفصاح النهائي يتوقف على فحص التطبيق الفعلي. الاتجاه الموصى به هو تقليل التتبع وتجنب تقنيات الإعلانات أو إعادة تشغيل الجلسات في المساحات الحساسة.,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.cookies.title,/ar/privacy-policy/,Privacy Policy (provisional draft),cookies,Cookies/analytics,ملفات الارتباط والتحليلات,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.deletion.body,/ar/privacy-policy/,Privacy Policy (provisional draft),deletion,"Exact account/child deletion behavior is pending runtime verification and must account for primary stores, delivery queues, backups and legal/security retention.",السلوك الدقيق لحذف الحساب/معلومات الطفل يحتاج تحققًا يشمل مخازن البيانات الأساسية وقوائم التسليم والنسخ الاحتياطية وأي احتفاظ قانوني أو أمني.,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
privacyPolicy.deletion.title,/ar/privacy-policy/,Privacy Policy (provisional draft),deletion,Deletion,الحذف,NONE,NONE,LEGAL_TEXT,CRITICAL,PENDING_REVIEW,,,YES
