ID,PHASE,DOMAIN,REQUIREMENT,CURRENT_SOURCE,CURRENT_VALIDATION,CURRENT_EXTERNAL_GATE,CURRENT_IMPLEMENTATION_GAP,OWNER,FILES,DEPENDENCIES,IMPLEMENTATION_ACTION,TEST_ACTION,EVIDENCE_ACTION,FINAL_STATUS
PCA-ADD-ENR-021,PCA-10; PCA-13; PCA-15,Addendum 001 enrollment,Normative text in docs/implementation/addenda/PCA_ADDENDUM_001_SECURE_INVITE_PROTECTED_ENROLLMENT.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,OEM_DEVICE_DIVERSITY_VALIDATION,,WS-10 PCA-10,android/app/src/main/java/org/pca/app/runtime/schedule/EmergencyAccessFloor.kt; android/app/src/main/java/org/pca/app/runtime/schedule/AndroidCommunicationSurfaceResolver.kt; android/app/src/main/java/org/pca/app/runtime/schedule/ScheduleRuntime.kt; android/app/src/main/java/org/pca/app/runtime/schedule/ScheduleEnforcementConsumer.kt,OEM_DEVICE_DIVERSITY_VALIDATION,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-ENR-022,PCA-1; PCA-11,Addendum 001 enrollment,Normative text in docs/implementation/addenda/PCA_ADDENDUM_001_SECURE_INVITE_PROTECTED_ENROLLMENT.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-01 PCA-1,"backend/migrations/0001_mysql_baseline.sql (enrollment_invitations stores only token_hash/platform/requested_protection_mode/status/timestamps) | backend/test/db/schema-privacy.mysql.test.mjs (schema-wide regression guard against prohibited plaintext column/table names, plus key-column allowlist)",,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-ENR-023,PCA-1,Addendum 001 enrollment,Normative text in docs/implementation/addenda/PCA_ADDENDUM_001_SECURE_INVITE_PROTECTED_ENROLLMENT.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-01 PCA-1,backend/src/invitation/MySqlInvitationRepository.ts | backend/migrations/0016_invitation_lifecycle_states.sql | backend/src/invitation/InvitationService.ts | backend/src/invitation/InvitationRepository.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-ENR-024,PCA-1; PCA-11; PCA-13,Addendum 001 enrollment,Normative text in docs/implementation/addenda/PCA_ADDENDUM_001_SECURE_INVITE_PROTECTED_ENROLLMENT.md,SOURCE_COMPLETE_EXTERNAL_GATE,AUTOMATED (5 evidence paths); no real-device/provider/UAT acceptance,PRODUCTION_CRYPTO_SUITE,,WS-01 PCA-1,backend/src/invitation/InvitationService.ts (loadRedeemable/findByToken reject with fixed generic InvitationError codes) | backend/test/db/authz.mysql.test.mjs:59 (wrong-family IDOR check against real MySQL); backend/src/familyrbac/RemovalDecisionAuthority.ts; backend/src/familyrbac/UnavailableRemovalDecisionSigningKeyResolver.ts; backend/src/http/routes/removalDecisionRoutes.ts; backend/src/main.ts; backend/src/http/buildServer.ts; backend/src/invitation/InvitationService.ts,PRODUCTION_CRYPTO_SUITE,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE_EXTERNAL_GATE
PCA-ADD-ENR-025,PCA-1; PCA-2; PCA-10; PCA-11; PCA-13; PCA-15,Addendum 001 enrollment,Normative text in docs/implementation/addenda/PCA_ADDENDUM_001_SECURE_INVITE_PROTECTED_ENROLLMENT.md,SOURCE_COMPLETE_EXTERNAL_GATE,AUTOMATED (7 evidence paths); no real-device/provider/UAT acceptance,PRODUCTION_CRYPTO_SUITE,,WS-01 PCA-1,android/app/src/main/java/org/pca/app/persistence/retention/RetentionEngine.kt; android/app/src/main/java/org/pca/app/persistence/retention/DeleteNowCoordinator.kt; android/app/src/main/java/org/pca/app/persistence/export/LocalRoomFamilyExportDataSource.kt; backend/src/retention/**; backend/src/export/**; backend/src/familyrbac/RemovalDecisionAuthority.ts; backend/src/familyrbac/MySqlRemovalDecisionRepository.ts; backend/src/http/routes/removalDecisionRoutes.ts; backend/src/alerts/ProtectionAlertProducer.ts; backend/src/alerts/MySqlProtectionAlertLedger.ts,PRODUCTION_CRYPTO_SUITE,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE_EXTERNAL_GATE
PCA-ADD-IDENT-001,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (3 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/ParentAccountService.ts; backend/src/parentaccount/**,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-002,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/ParentAccountService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-003,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/emailHash.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-004,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/ParentAccountService.ts | backend/src/http/routes/parentAccountRoutes.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-005,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,PRODUCTION_EMAIL_DELIVERY; PRODUCTION_EMAIL_CREDENTIAL_ROTATION,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/verificationCode.ts | backend/src/parentaccount/TestSandboxEmailSender.ts,PRODUCTION_EMAIL_DELIVERY; PRODUCTION_EMAIL_CREDENTIAL_ROTATION,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-006,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/ParentAccountService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-007,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/rateLimiter.ts | backend/src/parentaccount/policy.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-008,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/ParentAccountService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-009,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE_EXTERNAL_GATE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,PRODUCTION_CRYPTO_SUITE,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/genesisDeviceSigner.ts | backend/src/parentaccount/ParentAccountService.ts; backend/src/parentaccount/genesisDeviceSigner.ts; backend/src/parentaccount/ParentAccountService.ts; backend/src/familycommercial/authority/GenesisAnchorStore.ts; backend/src/familycommercial/authority/FamilyOwnerAttestationChainEngine.ts; backend/src/familycommercial/authority/MySqlGenesisAnchorStore.ts,PRODUCTION_CRYPTO_SUITE,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE_EXTERNAL_GATE
PCA-ADD-IDENT-010,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/genesisDeviceSigner.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-011,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,NONE recorded,,,WS-19 ADDENDUM-002/003/004,,,NONE (source complete),EXTERNAL (device/provider/UAT),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-012,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/cookies.ts | backend/src/http/routes/parentAccountRoutes.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-013,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/ParentAccountService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-014,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/ParentAccountService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-015,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/ParentAccountRepository.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-016,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/genesisDeviceSigner.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-017,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/policy.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-018,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/ParentAccountService.ts; backend/src/parentaccount/ParentAccountService.ts | backend/src/parentaccount/types.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-019,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/freeaccess/FreeAccessAdminService.ts; backend/src/parentaccount/freeaccess/adjustment.ts; backend/src/http/routes/platformadmin/freeAccessAdminRoutes.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-020,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (3 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,parent-web/src/components/freeaccess/FreeAccessReminderBannerView.tsx; parent-web/src/components/freeaccess/FreeAccessReminderBanner.tsx; parent-web/src/components/freeaccess/freeAccessDismissal.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-021,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/freeaccess/FreeAccessAcquisitionPolicy.ts; backend/src/parentaccount/freeaccess/MySqlFreeAccessAccountRepository.ts; backend/src/entitlements/slots/SlotReservationService.ts; backend/src/entitlements/requests/ChangeRequestService.ts; backend/src/invitation/InvitationService.ts; backend/src/familycommercial/FamilyCommercialService.ts; backend/src/main.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-022,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/freeaccess/FreeAccessAcquisitionPolicy.ts; backend/src/parentaccount/freeaccess/types.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-023,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/policy.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-IDENT-024,PCA-AUTH-SESSION-1,Addendum 003 parent identity,Normative text in docs/implementation/addenda/PCA_ADDENDUM_003_PARENT_IDENTITY_REGISTRATION_FREE_ACCESS.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002/003/004,backend/src/parentaccount/policy.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-001,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/** | backend/migrations/0005_platform_admin_identity_rbac_audit.sql | backend/src/http/routes/platformAdminAuthRoutes.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-002,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/token.ts | backend/src/platformadmin/auth/fastifyPlatformAdminAuthPlugin.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-003,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/http/routes/platformAdminAuthRoutes.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-004,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (3 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/PlatformAdminAuthService.ts; backend/src/platformadmin/**,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-005,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/migrations/0005_platform_admin_identity_rbac_audit.sql,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-006,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md; tooling/release/ValidateCanonicalTrustBoundary.mjs; tooling/release/Invoke-ReleaseGateCheck.ps1,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-007,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/http/routes/platformadmin/adminUserRoutes.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-008,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/rbacPolicy.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-009,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/migrations/0005_platform_admin_identity_rbac_audit.sql,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-010,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/fastifyPlatformAdminAuthPlugin.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-011,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/rbacPolicy.ts; backend/src/platformadmin/**,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-012,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (7 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/PlatformAdminAccountService.ts; backend/src/platformadmin/auth/token.ts; backend/src/platformadmin/auth/rbacPolicy.ts; backend/src/platformadmin/auth/PlatformAdminAuthService.ts; backend/src/parentaccount/ParentAccountService.ts; backend/migrations/0005_platform_admin_identity_rbac_audit.sql,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-013,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/migrations/0005_platform_admin_identity_rbac_audit.sql,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-014,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/token.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-015,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/rbacPolicy.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-016,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/PlatformAdminAuthService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-017,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/parentaccount/ParentAccountService.ts login() (Writer73); backend/src/platformadmin/accounts/FamilyAccountStatusService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-018,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/migrations/0005_platform_admin_identity_rbac_audit.sql,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-019,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (2 evidence paths); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/PlatformAdminAccountService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-020,PCA-PA-1,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (3 evidence paths); no real-device/provider/UAT acceptance,PLATFORM_ADMIN_ALERT_DELIVERY,,WS-19 ADDENDUM-002,backend/src/platformadmin/auth/PlatformAdminAuthService.ts; backend/src/platformadmin/auth/MySqlPlatformAdminAlertAdapter.ts; backend/migrations/0021_platform_admin_security_alerts.sql; backend/src/main.ts,PLATFORM_ADMIN_ALERT_DELIVERY,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-021,PCA-PA-2,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/migrations/0006_platform_entitlements_enrollment_limits.sql | backend/src/entitlements/EntitlementService.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-022,PCA-PA-2,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/entitlements/slots/SlotReservationService.ts | backend/src/entitlements/slots/MySqlSlotReservationRepository.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
PCA-ADD-PA-023,PCA-PA-2,Addendum 002 platform administration,Normative text in docs/implementation/addenda/PCA_ADDENDUM_002_PLATFORM_ADMINISTRATION_BILLING.md,SOURCE_COMPLETE,AUTOMATED (1 evidence path); no real-device/provider/UAT acceptance,,,WS-19 ADDENDUM-002,backend/src/entitlements/MySqlEntitlementRepository.ts,,NONE (source complete),NONE (automated evidence recorded),NONE,SOURCE_COMPLETE
